im_fitness,im_f_measure,im_precision,im_tree_height,im_tree_silent_leaves,im_tree_leaves,im_tree_nodes,incremental_fitness,incremental_f_measure,incremental_precision,incremental_tree_height,incremental_tree_silent_leaves,incremental_tree_leaves,incremental_tree_nodes,incremental_freezing_baseline_fitness,incremental_freezing_baseline_f_measure,incremental_freezing_baseline_precision,incremental_freezing_baseline_tree_height,incremental_freezing_baseline_tree_silent_leaves,incremental_freezing_baseline_tree_leaves,incremental_freezing_baseline_tree_nodes,incremental_freezing_advanced_fitness,incremental_freezing_advanced_f_measure,incremental_freezing_advanced_precision,incremental_freezing_advanced_tree_height,incremental_freezing_advanced_tree_silent_leaves,incremental_freezing_advanced_tree_leaves,incremental_freezing_advanced_tree_nodes,variants_total,variants_processed_so_far,traces_processed_so_far
0.7840467818114217,0.3166351709983589,0.1983739837398374,6,2,27,35,0.8239498315892995,0.26057937312657775,0.15476190476190477,6,4,29,38,0.8239498315892995,0.26057937312657775,0.15476190476190477,6,4,29,39,0.8239498315892995,0.26057937312657775,0.15476190476190477,6,4,29,39,20,1,1
0.9367472758800789,0.1122924081950061,0.059726027397260295,16,24,52,85,0.9055658936592671,0.19600253523647987,0.10989412194231474,14,25,62,97,0.9055658936592671,0.18379497176839704,0.10227658851512067,15,26,66,104,0.9029973608407342,0.19613373444468876,0.11001461988304095,14,23,60,94,20,2,2
0.9448336124284719,0.17882158728772893,0.09875621890547259,15,14,43,68,0.9232034773768497,0.17842851065311904,0.09875776397515523,15,30,72,113,0.9232034773768497,0.16876952901182588,0.09287383177570097,16,31,76,120,0.9206349445583168,0.19039557405194316,0.1061769616026711,15,26,66,104,20,3,3
0.9522068614347852,0.14885447524602888,0.08073794881967866,16,18,47,79,0.9372567375016729,0.12041859724426528,0.06434266641943265,17,34,76,121,0.9372567375016729,0.11915739444354391,0.06362302896956362,18,35,80,128,0.93568820468314,0.12641511080309428,0.06778667708536823,17,30,71,113,20,4,4
0.9542221895098957,0.15287648521094857,0.08309455587392545,16,17,46,77,0.9400362465277322,0.12211389971621676,0.06529817731374976,17,35,77,123,0.9400362465277322,0.12057763440859261,0.06442039106145248,18,36,81,130,0.9618808156518242,0.11734589512852135,0.062484378905273696,8,9,54,69,20,5,5
0.9744676453722507,0.13585339859162152,0.07301641586867302,20,24,53,91,0.9512776267058232,0.15123679846351426,0.08214849921011058,22,36,83,136,0.9579599745519719,0.13961474059411877,0.07529411764705884,26,35,80,132,0.9572655301075272,0.14247621546005976,0.07696577243293246,25,33,77,127,20,6,6
0.9781835699938093,0.1175673402841562,0.06254212157972772,20,27,56,98,0.9634580560665318,0.13928048170532029,0.07506613756613756,26,44,94,159,0.9651078336956292,0.12851335130391353,0.0688400303260045,29,39,86,146,0.9651078336956292,0.1290827967019329,0.069166922840455,28,37,84,142,20,7,7
0.9781835699938093,0.1175673402841562,0.06254212157972772,20,27,56,98,0.9634580560665318,0.13928048170532029,0.07506613756613756,26,44,94,159,0.9651078336956292,0.12851335130391353,0.0688400303260045,29,39,86,146,0.9651078336956292,0.1290827967019329,0.069166922840455,28,37,84,142,20,8,8
0.9809634927737318,0.11658144141329418,0.06197329184493716,21,26,55,97,0.9685921310102048,0.10250549194999371,0.05411629245826133,23,39,82,138,0.9685921310102048,0.10363406481463124,0.0547457821645817,24,40,86,145,0.9685921310102048,0.10251667122852282,0.054122524182404375,23,38,84,141,20,9,9
0.9809634927737318,0.11658144141329418,0.06197329184493716,21,26,55,97,0.9685921310102048,0.10250549194999371,0.05411629245826133,23,39,82,138,0.9685921310102048,0.10363406481463124,0.0547457821645817,24,40,86,145,0.9685921310102048,0.10251667122852282,0.054122524182404375,23,38,84,141,20,10,10
